t,qkd,mfg,bankQ,bankP,xq,xp,y,servedQ,servedP,ageQ
12449.5,337.08032399021135,0.0,73378.82494317803,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
12509.5,248.16618126958787,0.0,58730.31771093119,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
12569.5,322.9201759616425,0.0,46283.479156117115,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
12629.5,409.44315365698515,0.0,48227.003861995,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
12689.5,401.9339188722683,0.0,54955.3439161023,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
12749.5,407.22076105992477,0.0,57633.809034063794,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
12809.5,433.65345582007217,0.0,65960.57119462188,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
12869.5,406.38743862604196,0.0,75371.50152064384,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
12929.5,380.88994815287384,0.0,76048.19477602256,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
12989.5,469.37852327433507,0.0,77288.74494502012,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
13049.5,516.312738657751,0.0,83113.29016820359,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
13109.5,564.7676526555581,0.0,90236.94995267379,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
13169.5,535.5057799079331,0.0,98012.75886705393,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
13229.5,468.1170622278057,0.0,104579.69283067207,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
13289.5,454.85163877063104,0.0,106352.05977187309,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
13349.5,426.9313453059318,0.0,103330.16865936617,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
13409.5,435.1428117954265,0.0,95837.24725226912,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
13469.5,547.7151898849938,0.0,92786.49238828679,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
13529.5,577.6773822814434,0.0,96729.64891627754,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
