t,qkd,mfg,bankQ,bankP,xq,xp,y,servedQ,servedP,ageQ,ageMean,ageOldest
16440,0.0,0.0,0,28494.07585299745,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,58.38822345344388,0.0,0.0,0.0
16560,0.0,781.25,0,48897.692621970666,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,23.355289381377553,0.0,0.0,0.0
16680,0.0,0.0,0,56128.61477598852,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
16800,0.0,781.25,0,72430.91816804846,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,23.355289381377553,0.0,0.0,0.0
16920,0.0,781.25,0,83368.41816804846,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,23.355289381377553,0.0,0.0,0.0
17040,0.0,0.0,0,69749.66866629464,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
17160,0.0,0.0,0,71673.02345742984,0.0,23.355289381377567,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
17280,0.0,0.0,0,55617.10279815051,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
17400,0.0,0.0,0,72603.7784498565,0.0,58.388223453443864,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
17520,0.0,0.0,0,76484.36877192283,0.0,36.282705009746536,-1.4210854715202004e-14,0.0,26.90893645182868,0.0,0.0,0.0
17640,0.0,0.0,0,74210.68464006696,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
17760,0.0,0.0,0,40316.7724609375,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
17880,0.0,0.0,0,22607.23503268495,0.0,20.719589174556397,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
18000,0.0,781.25,0,54413.15320073342,0.0,55.59160709098527,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
18120,0.0,0.0,0,78185.84831393494,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
18240,0.0,0.0,0,70187.65819316008,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
18360,0.0,0.0,0,45843.91068439095,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
18480,0.0,0.0,0,22560.524453922193,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
18600,0.0,0.0,0,6459.04541015625,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
18720,0.0,0.0,0,6505.755988919005,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
18840,0.0,0.0,0,28750.984036192604,0.0,23.355289381377553,0.0,0.0,50.20156766399707,0.0,0.0,0.0
18960,0.0,0.0,0,60264.96108697385,0.0,19.98765164086135,-1.4210854715202004e-14,0.0,6.464157395209497,0.0,0.0,0.0
19080,0.0,0.0,0,70069.72955197704,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
19200,0.0,0.0,0,36411.67465521365,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
19320,0.0,781.25,0,5950.350149300563,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,23.355289381377553,0.0,0.0,0.0
19440,0.0,781.25,0,20380.261479591838,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
19560,0.0,0.0,0,33333.385233976405,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
19680,0.0,0.0,0,19948.188626036354,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
19800,0.0,0.0,0,4395.558882732781,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
19920,0.0,0.0,0,15740.62425263074,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
20040,0.0,0.0,0,15740.62425263074,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
20160,0.0,0.0,0,12767.433633609693,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
20280,0.0,0.0,0,0,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
20400,0.0,781.25,0,12929.76846500319,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,81.74351283482143,0.0,0.0,0.0
20520,0.0,0.0,0,34243.08932557398,0.0,81.74351283482142,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
20640,0.0,0.0,0,54937.49501753826,0.0,-2.1316282072803006e-14,-2.1316282072803006e-14,0.0,0.0,0.0,0.0,0.0
20760,0.0,0.0,0,52220.06038743623,0.0,58.38822345344386,-2.1316282072803006e-14,0.0,0.0,0.0,0.0,0.0
20880,0.0,0.0,0,46913.64521882972,0.0,-2.1316282072803006e-14,-2.1316282072803006e-14,0.0,0.0,0.0,0.0,0.0
21000,0.0,0.0,0,45784.37026666135,0.0,23.35528938137753,-2.1316282072803006e-14,0.0,0.0,0.0,0.0,0.0
21120,0.0,781.25,0,51429.43713129783,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,81.74351283482143,0.0,0.0,0.0
21240,0.0,0.0,0,52362.49651227678,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
21360,0.0,0.0,0,28285.0304428412,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
21480,0.0,0.0,0,10854.604292889031,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
21600,0.0,0.0,0,4337.170659279337,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
21720,0.0,0.0,0,1445.7235530931123,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
21840,0.0,0.0,0,0,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
21960,0.0,0.0,0,11589.143714126276,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
22080,0.0,781.25,0,26769.241021603953,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,58.38822345344388,0.0,0.0,0.0
22200,0.0,781.25,0,43663.647710060584,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,58.38822345344388,0.0,0.0,0.0
22320,0.0,0.0,0,49236.344318000636,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
22440,0.0,0.0,0,57234.53443877551,0.0,23.35528938137754,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
22560,0.0,781.25,0,48653.614277742345,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,58.38822345344388,0.0,0.0,0.0
22680,0.0,0.0,0,44247.52994459502,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
22800,0.0,781.25,0,60351.31337691326,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,23.355289381377553,0.0,0.0,0.0
22920,0.0,0.0,0,86690.78593351402,0.0,58.388223453443864,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
23040,0.0,0.0,0,73676.96956712373,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
23160,0.0,0.0,0,34394.898706552936,0.0,58.388223453443864,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
23280,0.0,0.0,0,13385.19660794005,0.0,23.35528938137754,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
23400,0.0,0.0,0,15064.473054846938,0.0,23.35528938137754,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
23520,0.0,0.0,0,46872.6956114477,0.0,23.35528938137754,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
23640,0.0,0.0,0,66610.68663305165,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,58.38822345344388,0.0,0.0,0.0
23760,0.0,0.0,0,79026.63873166454,0.0,23.35528938137754,-1.4210854715202004e-14,0.0,58.38822345344388,0.0,0.0,0.0
