t,qkd,mfg,bankQ,bankP,xq,xp,y,servedQ,servedP,ageQ,ageMean,ageOldest
9960,155.66772615151166,0.0,742.1148483278316,0,139.42794795404814,0.0,5.719869022868806e-13,139.42794795400013,0.0,4.6541675135626575,92.60813362572698,285
10080,133.01751362951592,0.0,4104.43398799696,0,67.24449981028944,0.0,6.821210263296962e-13,67.24449981024141,0.0,0.021882622298720473,73.47992409924825,285
10200,115.5684476135445,0.0,7361.366281907878,0,47.73262021923973,0.0,8.810729923425242e-13,129.47613305401308,0.0,1.0,123.34842031716185,299
10320,131.9592244622663,0.0,7229.508769959365,0,97.06087398649419,0.0,1.1297629498585593e-12,50.35029522369099,0.0,0.6222991485930603,192.1490190998851,300
10440,141.84932231071474,0.0,5718.4866240216015,0,128.38124835006283,0.0,1.3038459201197838e-12,75.99816116242283,0.0,1.5546891321450007,146.82249459476304,300
10560,149.2819634773944,0.0,8251.642368625231,0,76.49494718310922,0.0,1.8900436771218665e-12,134.27330241573392,0.0,0.8037953928416527,110.87265957339189,277
10680,102.1775442062752,0.0,6435.419186073546,0,126.9374833998533,0.0,2.2239987629291136e-12,126.9374833998049,0.0,118.67807098794427,193.92803786952237,300
10800,90.3123579555016,0.0,715.9912429185214,0,69.72408847644456,0.0,2.476241434123949e-12,128.11231192984016,0.0,284.7211481356512,292.84274098427994,300
10920,81.81478430655733,0.0,0,0,1430.894644259051,0.0,2.4158453015843406e-12,81.81478430655733,0.0,0.0,0.0,0.0
11040,94.13274996525297,0.0,0,0,221.13557979007942,0.0,2.4584778657299466e-12,94.13274996525298,0.0,0.0,0.0,0.0
11160,77.67736571345787,0.0,1455.878874819002,0,27.320714972623996,0.0,2.424727085781342e-12,120.87658635235023,0.0,3.0000000000000004,69.44998444009201,115
11280,129.5303263003135,0.0,2854.3770089307795,0,89.94785805868833,0.0,2.3234747459355276e-12,119.14196978535398,0.0,1.823804693488838,123.0048674700472,235
11400,110.18245379825633,0.0,3488.3097894572024,0,98.03006888439695,0.0,2.312816604899126e-12,147.93327237114346,0.0,9.594892275882316,133.2414802664625,300
11520,103.07745642941028,0.0,3864.226304160008,0,79.71798814946453,0.0,2.3234747459355276e-12,84.46557922984502,0.0,12.305968335010634,148.45669024727914,299
11640,91.82051882471085,0.0,329.191836675963,0,111.03242837341847,0.0,2.5579538487363607e-12,111.03242837336228,0.0,281.3641956302248,285.1736898218356,291
11760,83.50887485554284,0.0,0,0,1938.341458627541,0.0,2.4442670110147446e-12,83.50887485554284,0.0,0.0,0.0,0.0
11880,139.12140090808248,0.0,0,0,1547.9679181222307,0.0,2.3590018827235326e-12,139.12140090808245,0.0,0.0,0.0,0.0
12000,150.47378432467286,0.0,0,0,1676.0404838047016,0.0,2.3874235921539366e-12,150.47378432467286,0.0,0.0,0.0,0.0
12120,132.56461188849477,0.0,904.4324569123247,0,113.0965742519262,0.0,2.8563817977556027e-12,113.09657425186211,0.0,2.1607057839376367,27.535217567216236,78
12240,117.54605377331328,0.0,3337.168173290908,0,139.33774712617605,0.0,2.8919089345436078e-12,92.62716836335682,0.0,1.717760276277491,74.0011933453369,198
12360,72.73110801705377,0.0,2929.354435918807,0,62.55972412687741,0.0,2.9132252166164108e-12,62.55972412681328,0.0,2.3741322340853204,182.42789905192672,299
12480,70.8735001098637,0.0,1666.0617941601317,0,55.98872523857675,0.0,3.424815986363683e-12,79.34401461988983,0.0,55.978886434485105,209.36931039727943,297
12600,97.94930330735782,0.0,0,0,2058.6042063693963,0.0,3.240074875066057e-12,97.94930330735782,0.0,0.0,0.0,0.0
12720,96.83504065116074,0.0,0,0,237.56070038703433,0.0,2.9558577807620168e-12,96.83504065116074,0.0,0.0,0.0,0.0
12840,110.96304911881165,0.0,421.53139825153073,0,128.62078261104793,0.0,3.126388037344441e-12,70.23255915753981,0.0,3.721771744440477,48.00269758417623,111
12960,116.80343956823575,0.0,1190.1256244129042,0,147.10834323592883,0.0,3.304023721284466e-12,100.39776447310935,0.0,6.509658600436678,89.36419313592847,231
13080,126.21121805177147,0.0,2700.579291171514,0,120.54057047731384,0.0,3.225864020350855e-12,120.54057047724953,0.0,8.227169639215626,106.83431073333777,298
13200,118.20977336604166,0.0,4112.228605423882,0,159.91604313678903,0.0,3.375077994860476e-12,70.1013658765811,0.0,6.028674472336492,128.43661213313283,299
13320,109.28517829925892,0.0,3198.1041114403256,0,123.98397052184697,0.0,3.40349970429088e-12,147.64055391389468,0.0,10.693597320672641,205.00434016365486,298
13440,140.75864509341045,0.0,954.4972436962557,0,162.0121934640569,0.0,3.517186542012496e-12,162.0121934639924,0.0,110.97379327357453,252.20787922777268,300
13560,137.10727899568502,0.0,1638.3648045704876,0,92.55151921592736,0.0,4.014566457044566e-12,150.93974266930684,0.0,3.0164937712772155,35.55696479244737,144
13680,120.76138900729612,0.0,5277.794219989506,0,87.5508345146958,0.0,3.701927653310122e-12,116.74494624135335,0.0,2.6446004054006296,89.95468017173805,264
13800,86.4993448663366,0.0,6245.071121460759,0,66.77131767086753,0.0,3.68771679859492e-12,95.96542939752507,0.0,4.386078487313655,180.37864082123463,300
13920,116.09781016990367,0.0,6325.910466417372,0,62.6479842197631,0.0,3.61666252501891e-12,84.64495045900497,0.0,0.7861074372534874,145.1147757102525,300
14040,163.08771546194535,0.0,10706.326718101162,0,97.80293170227947,0.0,3.289812866569264e-12,74.44764232083794,0.0,0.09368695193171307,96.95153853858378,299
