scheduler,scenario,seed,horizon_s,secure_goodput_bps,secrecy_outage_rate,rekey_events,mean_queue,mean_aos,max_aos,mean_z_l1,final_z_l1,max_z_edge,mean_lyapunov,final_lyapunov,key_inflow_bits,key_overflow_bits,key_overflow_frac,active_overflow_frac,pqc_utilisation,n_active_edges,weight_variant,k_max_bits,aos_T_a,load_scale,cg_mean_iters,cg_max_iters_used,cg_nonconverged,cg_gap_frac,cg_gap_max,key_blocked_edge_slots
aos_backpressure,traffic_surge,17,600,357093439.63427275,0.42033333333333334,1335,21240065246.206665,36.14243218979874,420.0,39453592.67929385,62265303.89045051,11525990.273959393,2.4891669541482368e+20,4.316868224719646e+20,4932831346.150059,1.4444480095354706e-06,2.9282331143610317e-16,5.1128612738098345e-16,0.5332229759258604,31,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,traffic_surge,18,600,347013342.81333977,0.41433333333333333,1355,23964005581.216667,31.904822289466775,420.0,45322077.986224145,51342288.166092575,9486498.845441291,3.3832942746632317e+20,6.695448193858666e+20,4805236453.058911,1.1967778164034826e-06,2.490570085560804e-16,4.619800293581939e-16,0.539107737843307,31,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,traffic_surge,19,600,347619234.4576367,0.3993333333333333,1324,23285127335.065,28.894195554536516,420.0,44070659.032612875,37336473.733605295,11422009.162964733,3.484884411177418e+20,6.635384647984077e+20,4890427764.315391,1.409566776206249e-06,2.882297508802021e-16,5.412448102828691e-16,0.5325312047418349,33,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,coalition_partition,0,600,238613466.32610804,0.11666666666666667,368,2823729027.6466665,7.818810053311568,180.36007936530228,15710332.917633258,69188767.98461358,15982134.260530282,8.748872117008123e+18,7.422051731381492e+18,4861673609.064459,2.0931093559495295e-06,4.3053267748105997e-16,9.112553909531676e-16,0.37406025579055796,25,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,coalition_partition,1,600,241211593.86571604,0.12,386,2467289616.29,8.692152154311028,301.23731709966074,17116538.999457076,75628263.54749489,18520201.64425292,6.968363961281526e+18,2.68222146070167e+18,4955278005.317129,2.1109146068898355e-06,4.2599317427292166e-16,9.30959543610871e-16,0.3712978716286179,25,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,coalition_partition,2,600,235274679.38479003,0.11866666666666667,369,3224409884.4016666,8.127554011738988,240.34097857808945,11195333.32903997,44512622.96797609,13022231.183464495,1.1190289366419845e+19,1.70649627299486e+19,4875484398.01806,1.9155683403937473e-06,3.9289805566241744e-16,9.254665041631567e-16,0.3555422711810095,24,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,coalition_partition,3,600,235575595.5659318,0.11833333333333333,361,3319280308.1,7.797835258281751,240.35184689700296,11207492.350206856,47848601.78298684,11131430.977791363,1.1767920886658337e+19,1.6026933105674965e+19,4887087898.2024975,1.8468487232467122e-06,3.7790372543248e-16,8.340218974415493e-16,0.36487037550703877,24,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,coalition_partition,4,600,236726462.08409333,0.11833333333333333,369,2891099725.4533334,7.884148498435546,262.16295973251925,13802164.4086007,53063517.39263464,15777161.014852809,9.145962945722986e+18,1.2375010889264695e+19,4856467176.068578,1.6630319267036576e-06,3.4243656271345795e-16,7.632069041819832e-16,0.36593063430738215,24,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,coalition_partition,5,600,237482221.74762186,0.118,363,2912578391.2183332,7.824685699200127,261.16295973251925,14937989.19102939,69605006.10280891,15672363.617345551,9.30029707145347e+18,1.0254189572545663e+19,4936282946.937528,2.1485590956382694e-06,4.3525849687592087e-16,1.1851334687176044e-15,0.3624428897313005,26,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,coalition_partition,6,600,242509241.29430553,0.119,387,2303483971.5266666,9.642540242986547,301.44800021289706,17368039.438818227,79603786.15281817,20663426.787915334,6.325531854513935e+18,1.2304761466304717e+18,4876614077.985512,1.7871936021825185e-06,3.6648247607913913e-16,8.1659839548521295e-16,0.37568039653307617,25,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,coalition_partition,7,600,234903619.11437443,0.11866666666666667,366,3379795902.6633334,7.69171269492011,181.3995839281381,11160140.012356471,52214037.8589155,12093370.323618295,1.2297672952560065e+19,1.8399714222339682e+19,4930233132.777229,2.1971913864063893e-06,4.4565669152620745e-16,1.0639469667047158e-15,0.35771954968244163,24,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,coalition_partition,8,600,241842248.82436904,0.11933333333333333,404,2549672104.385,9.060055973905538,420.0,15930101.867288005,71206764.70118538,18286895.30102478,7.371856907263748e+18,1.8807398614923374e+18,4889189761.362063,1.7981251093453287e-06,3.67775684133887e-16,8.785140541145231e-16,0.36911325087988534,25,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,coalition_partition,9,600,238636724.29794183,0.118,372,2714014579.9966664,7.675644887354123,300.5870441601592,14744955.208046157,64106054.51429586,16522045.65958723,8.229161084430947e+18,7.360242234549912e+18,5017269231.560202,1.827544424053834e-06,3.6425081846475465e-16,8.199372212729201e-16,0.36499725824079793,24,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
