policy,scenario,seed,theta,load_scale,V_nu,budget,goodput_mbps,its_fraction,claimed_its_fraction,mislabelled_fraction,mean_aos,mean_delay,mean_virt,mean_phys,phys_slope,final_lyap,manufactured_units,capability_units,manufacture_utilisation,qkd_units,qkd_expired_frac,unroutable
tqd,nominal,4,1.0,1.0,0.0,781.25,24.875213398404103,1.0,1.0,0.0,16.18605333020298,15.885720003780374,68886.94106522764,61799.78179812685,0.37287573341501534,1533655958.8980274,0.0,1215000000.0,0.0,208627073.22188863,0.7724071712527601,0
tqd,nominal,0,1.0,1.0,0.0,781.25,24.835151563014964,1.0,1.0,0.0,16.151567506683065,8.201776286610407,68593.03241102438,62533.58833171524,0.02718236738181203,1534669615.8506215,0.0,1215000000.0,0.0,210224734.5746984,0.7741975307183241,0
tqd,nominal,1,1.0,1.0,0.0,781.25,24.82241929738962,1.0,1.0,0.0,15.103444764521367,7.325038476732397,63648.623198255744,57691.73924344964,1.256019070334035,1892337979.9871883,0.0,1215000000.0,0.0,211307693.1855664,0.7767904736477433,0
tqd,nominal,2,1.0,1.0,0.0,781.25,24.893012319667452,1.0,1.0,0.0,15.18783759636491,9.414138952063418,63107.580913071324,57222.33720179743,-0.33757420528627163,757152761.7036244,0.0,1215000000.0,0.0,211056980.56281123,0.7757322865307362,0
tqd,nominal,3,1.0,1.0,0.0,781.25,24.831792075331492,1.0,1.0,0.0,13.406940129155306,6.728251814880273,55701.611504845176,50541.59341128585,0.6228943102742427,2975008672.2054825,0.0,1215000000.0,0.0,210340685.52101672,0.7776202363788771,0
tqd,nominal,4,1.0,1.0,0.0,781.25,24.875213398404103,1.0,1.0,0.0,16.18605333020298,15.885720003780374,68886.94106522764,61799.78179812685,0.37287573341501534,1533655958.8980274,0.0,1215000000.0,0.0,208627073.22188863,0.7724071712527601,0
fungible,nominal,0,0.25,1.0,0.0,781.25,19.332852064436885,0.9437315932817881,0.3228897317498001,0.06896683825015656,18.777313495585528,1.7635492192104112,29392.47465010836,1875532.2584577561,83.5156767378878,161190594.55229458,27373437.5,1215000000.0,0.02252957818930041,210224734.5746984,0.9552244570180339,0
fungible,nominal,1,0.25,1.0,0.0,781.25,19.45983914399093,0.9541929671603442,0.3206458261452986,0.05798442213501642,15.521666671765509,1.7168563047379224,29604.568112928988,1783395.741692713,84.15693891673818,216078701.2366592,26066406.25,1215000000.0,0.02145383230452675,211307693.1855664,0.9489619170118281,0
fungible,nominal,2,0.25,1.0,0.0,781.25,19.344535383597883,0.9527821701703649,0.3225921515464084,0.0590339749661639,16.01232170882203,1.6735595477464043,30537.695103197562,1903559.7058312811,82.4888196315993,140185616.15762123,26446875.0,1215000000.0,0.021766975308641974,211056980.56281123,0.9515078908158423,0
fungible,nominal,3,0.25,1.0,0.0,781.25,19.451893778344672,0.9574682949989901,0.3209553009256202,0.049205646820246675,14.643982570399489,1.9937608579189734,28703.540524126445,1816387.4298340678,86.39481627256409,203972166.64544603,25235156.25,1215000000.0,0.020769675925925928,210340685.52101672,0.9458059952604236,0
