t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey,q_sumsq,z_l1,z_sumsq,z_max,lyapunov,key_inflow,key_overflow
459,156957870.39667735,1,0.0,6294760.64115363,7437015061,15.275096867518078,120.0,1,4.960895466650798e+19,8748721.696515543,25310606448094.707,3961870.886685024,2.48070083938988e+19,8322622.319503814,4.48198989033699e-09
460,335111103.6018781,2,0.0,6250387.327010638,7346903957,15.273151869221547,120.0,2,4.918647169952844e+19,9940822.434631523,28794643388942.875,4237166.814137685,2.4596115314103116e+19,8322622.319503814,4.48198989033699e-09
461,156957870.39667735,1,0.0,6302754.020448185,7434946087,15.275138194911102,120.0,1,4.953940134097675e+19,8798714.98421305,25709239679026.355,4011864.174382531,2.4772271594456277e+19,8322622.319503814,4.48198989033699e-09
462,335111103.6018781,2,0.0,6258489.528785878,7344834983,15.2734475251653,120.0,2,4.9116981300917264e+19,9990815.72232903,29220802516880.71,4287160.101835192,2.456141273071032e+19,8322622.319503814,4.48198989033699e-09
463,156957870.39667735,1,0.0,6310911.219136554,7432877112,15.275170201685388,120.0,1,4.946991877131062e+19,8848708.271910558,26112871567587.617,4061857.462080038,2.473757067281207e+19,8322622.319503814,4.48198989033699e-09
464,335111103.6018781,2,0.0,6266748.416036751,7342766009,15.27374999681922,120.0,2,4.90475616581712e+19,10040809.010026537,29651960302448.156,4337153.389532699,2.4526746025115845e+19,8322622.319503814,4.48198989033699e-09
465,156957870.39667735,1,0.0,6319221.49794736,7430808139,15.275193442504559,120.0,1,4.94005069575096e+19,8898701.559608065,26521502113778.49,4111850.749777545,2.470290562896618e+19,8322622.319503814,4.48198989033699e-09
466,337907746.993101,2,0.0,6273939.896243525,7337900392,15.274132313796974,120.0,2,4.897625698955566e+19,10134499.8507119,30094963871997.914,4387146.677230206,2.449113799116503e+19,8366319.872491672,4.409230314195156e-09
467,159754513.78790027,1,0.0,6325854.090253641,7423145878,15.275274413189653,120.0,1,4.928977030559074e+19,8970543.623799501,26937780972705.215,4161844.0374750523,2.464757893089264e+19,8366319.872491672,4.409230314195156e-09
468,337907746.993101,2,0.0,6284262.824671049,7330238131,15.274362603571916,120.0,2,4.8865946076557255e+19,10184119.254176952,30536048477326.586,4437139.964927713,2.443602664312636e+19,8367815.409421496,5.2677933126688e-09
469,159754513.78790027,1,0.0,6337143.185451402,7415483617,15.275151882263287,120.0,1,4.917915883912386e+19,9020536.911497008,27356408834155.31,4211837.325172559,2.4592315060445348e+19,8367815.409421496,5.2677933126688e-09
